2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 100.49)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 101.35)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 103.0)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 107.39)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 121.13)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 101.24)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 100.44)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 106.0)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 114.24)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 111.33)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 110.69)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 104.41)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 109.17)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 107.16)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 101.36)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 116.78)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 103.98)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 100.89)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 103.47)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 103.77)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 105.78)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 103.64)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 103.61)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 100.15)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 118.29)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 106.28)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 103.38)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 107.89)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 108.89)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 101.79)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 102.68)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 115.22)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 106.46)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 106.7)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 101.01)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 112.81)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 124.24)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 108.03)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 102.9)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 109.27)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 100.79)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 100.94)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 114.31)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 109.43)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 111.83)
